symbol,display_symbol,label,thai_name,asset_type,exchange,market,sector,industry,country,currency,aliases,index_memberships,yfinance_symbol,enabled,searchable,coverage_status,security_type,set_symbol,source
1DIV.BK,1DIV,ThaiDEX SET High Dividend ETF,กองทุนเปิดไทยเด็กซ์ SET High Dividend ETF,etf,SET,Thailand,Unclassified,Unclassified,Thailand,THB,1DIV|ThaiDEX SET High Dividend ETF|กองทุนเปิดไทยเด็กซ์ SET High Dividend ETF|กองทุนเปิดไทยเด็กซ์SETHighDividendETF|กองทุนเปิดไทยเด็กซ์|SET|High|Dividend|ETF,,1DIV.BK,true,true,verified_set_public_listing_partial,L,1DIV,set_public_stock_list_api
1I01BSET50.BK,1I01BSET50,BCAP SET50 Daily Inverse ETF (-1X),กองทุนเปิดบีแคป เซ็ท 50 เดย์ลี่ อินเวิร์ส อีทีเอฟ (-1X),etf,SET,Thailand,Unclassified,Unclassified,Thailand,THB,1I01BSET50|BCAP SET50 Daily Inverse ETF (-1X)|กองทุนเปิดบีแคป เซ็ท 50 เดย์ลี่ อินเวิร์ส อีทีเอฟ (-1X)|กองทุนเปิดบีแคปเซ็ท50เดย์ลี่อินเวิร์สอีทีเอฟ(-1X)|กองทุนเปิดบีแคป|เซ็ท|เดย์ลี่|อินเวิร์ส|อีทีเอฟ|-1X,,1I01BSET50.BK,true,true,verified_set_public_listing_partial,L,1I01BSET50,set_public_stock_list_api
2I01BSET50.BK,2I01BSET50,BCAP SET50 Daily Inverse ETF (-2X),กองทุนเปิดบีแคป เซ็ท 50 เดย์ลี่ อินเวิร์ส อีทีเอฟ (-2X),etf,SET,Thailand,Unclassified,Unclassified,Thailand,THB,2I01BSET50|BCAP SET50 Daily Inverse ETF (-2X)|กองทุนเปิดบีแคป เซ็ท 50 เดย์ลี่ อินเวิร์ส อีทีเอฟ (-2X)|กองทุนเปิดบีแคปเซ็ท50เดย์ลี่อินเวิร์สอีทีเอฟ(-2X)|กองทุนเปิดบีแคป|เซ็ท|เดย์ลี่|อินเวิร์ส|อีทีเอฟ|-2X,,2I01BSET50.BK,true,true,verified_set_public_listing_partial,L,2I01BSET50,set_public_stock_list_api
2S-F.BK,2S-F,2S METAL PUBLIC COMPANY LIMITED,บริษัท 2 เอส เมทัล จำกัด (มหาชน),foreign_stock,SET,Thailand,Steel,Industrials,Thailand,THB,2S-F|2S|2S METAL PUBLIC COMPANY LIMITED|2S METAL|บริษัท 2 เอส เมทัล จำกัด (มหาชน)|2เอสเมทัล|บริษัท|เอส|เมทัล|จำกัด|มหาชน|S2-F,,2S-F.BK,true,true,verified_set_public_listing_partial,F,2S-F,set_public_stock_list_api
2S.BK,2S,2S METAL PUBLIC COMPANY LIMITED,บริษัท 2 เอส เมทัล จำกัด (มหาชน),stock,SET,Thailand,Steel,Industrials,Thailand,THB,2S|2S METAL PUBLIC COMPANY LIMITED|2S METAL|บริษัท 2 เอส เมทัล จำกัด (มหาชน)|2เอสเมทัล|บริษัท|เอส|เมทัล|จำกัด|มหาชน|S2,,2S.BK,true,true,verified_set_public_listing_partial,S,2S,set_public_stock_list_api
2X01BSET50.BK,2X01BSET50,BCAP SET50 Daily Leveraged ETF (2X),กองทุนเปิดบีแคป เซ็ท 50 เดย์ลี่ เลเวอเรจ อีทีเอฟ (2X),etf,SET,Thailand,Unclassified,Unclassified,Thailand,THB,2X01BSET50|BCAP SET50 Daily Leveraged ETF (2X)|กองทุนเปิดบีแคป เซ็ท 50 เดย์ลี่ เลเวอเรจ อีทีเอฟ (2X)|กองทุนเปิดบีแคปเซ็ท50เดย์ลี่เลเวอเรจอีทีเอฟ(2X)|กองทุนเปิดบีแคป|เซ็ท|เดย์ลี่|เลเวอเรจ|อีทีเอฟ,,2X01BSET50.BK,true,true,verified_set_public_listing_partial,L,2X01BSET50,set_public_stock_list_api
3BBIF-F.BK,3BBIF-F,3BB INTERNET INFRASTRUCTURE FUND,กองทุนรวมโครงสร้างพื้นฐานบรอดแบนด์อินเทอร์เน็ต สามบีบี,infrastructure_fund,SET,Thailand,Information & Communication Technology,Technology,Thailand,THB,3BBIF-F|3BBIF|3BB INTERNET INFRASTRUCTURE FUND|กองทุนรวมโครงสร้างพื้นฐานบรอดแบนด์อินเทอร์เน็ต สามบีบี|โครงสร้างพื้นฐานบรอดแบนด์อินเทอร์เน็ตสามบีบี|กองทุนรวมโครงสร้างพื้นฐานบรอดแบนด์อินเทอร์เน็ต|สามบีบี|JASIF-F,,3BBIF-F.BK,true,true,verified_set_public_listing_partial,F,3BBIF-F,set_public_stock_list_api
3BBIF.BK,3BBIF,3BB INTERNET INFRASTRUCTURE FUND,กองทุนรวมโครงสร้างพื้นฐานบรอดแบนด์อินเทอร์เน็ต สามบีบี,infrastructure_fund,SET,Thailand,Information & Communication Technology,Technology,Thailand,THB,3BBIF|3BB INTERNET INFRASTRUCTURE FUND|กองทุนรวมโครงสร้างพื้นฐานบรอดแบนด์อินเทอร์เน็ต สามบีบี|โครงสร้างพื้นฐานบรอดแบนด์อินเทอร์เน็ตสามบีบี|กองทุนรวมโครงสร้างพื้นฐานบรอดแบนด์อินเทอร์เน็ต|สามบีบี|JASIF,,3BBIF.BK,true,true,verified_set_public_listing_partial,S,3BBIF,set_public_stock_list_api
88TH-F.BK,88TH-F,88(Thailand) Public Company Limited,บริษัท 88(ไทยแลนด์) จำกัด (มหาชน),foreign_stock,mai,Thailand,Unclassified,Consumer Products,Thailand,THB,88TH-F|88TH|88(Thailand) Public Company Limited|88(Thailand)|บริษัท 88(ไทยแลนด์) จำกัด (มหาชน)|88(ไทยแลนด์)|บริษัท|ไทยแลนด์|จำกัด|มหาชน,,88TH-F.BK,true,true,verified_set_public_listing_partial,F,88TH-F,set_public_stock_list_api
88TH.BK,88TH,88(Thailand) Public Company Limited,บริษัท 88(ไทยแลนด์) จำกัด (มหาชน),stock,mai,Thailand,Unclassified,Consumer Products,Thailand,THB,88TH|88(Thailand) Public Company Limited|88(Thailand)|บริษัท 88(ไทยแลนด์) จำกัด (มหาชน)|88(ไทยแลนด์)|บริษัท|ไทยแลนด์|จำกัด|มหาชน,,88TH.BK,true,true,verified_set_public_listing_partial,S,88TH,set_public_stock_list_api
